geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,California,All,2009-10,200947,,,527,4633,11.37491906,102.1772485
State,,Georgia,All,2009-10,201014,,,103,1381,7.458363505,101.9029865
State,,Georgia,All,2009-10,201029,,,88,1346,6.537890045,99.32036196
State,,Rhode Island,All,2009-10,200940,,,22,160,13.75,88.40947547
State,,West Virginia,All,2009-10,201010,,,43,431,9.976798144,104.5533683
State,,New York,All,2009-10,200945,,,192,1898,10.11591149,104.1102721
Region,10,,All,2009-10,201009,0,134,134,1928,6.950207469,104.4493464
State,,Pennsylvania,All,2009-10,201031,,,129,2220,5.810810811,92.14124432
State,,Oklahoma,All,2009-10,201006,,,56,717,7.810320781,102.9754747
State,,Missouri,All,2009-10,201003,,,93,1109,8.385933273,105.0746418
State,,Vermont,All,2009-10,201026,,,9,93,9.677419355,92.69397682
State,,Alaska,All,2009-10,201004,,,2,70,2.857142857,97.11251245
State,,Florida,All,2009-10,201016,,,168,3289,5.107935543,99.11768947
State,,District of Columbia,All,2009-10,201020,,,9,101,8.910891089,113.0940263
State,,Rhode Island,All,2009-10,201038,,,16,189,8.465608466,104.4336929
State,,Missouri,All,2009-10,201008,,,106,1128,9.397163121,106.8748385
State,,New York City,All,2009-10,201038,,,91,933,9.753483387,93.70170684
State,,Nevada,All,2009-10,200948,,,35,404,8.663366337,105.777711
State,,Idaho,All,2009-10,201037,,,17,232,7.327586207,104.3672916
National,,,65 years and older,2009-10,201008,7,3566,3573,37026,9.649975693,105.4929119
State,,Louisiana,All,2009-10,201007,,,65,883,7.361268403,112.8789964
State,,Mississippi,All,2009-10,201022,,,37,550,6.727272727,99.2531192
State,,Colorado,All,2009-10,201028,,,33,575,5.739130435,93.8280762
State,,Vermont,All,2009-10,201011,,,8,98,8.163265306,97.67752396
State,,Colorado,All,2009-10,201003,,,57,690,8.260869565,112.5936914
State,,Mississippi,All,2009-10,201024,,,27,532,5.07518797,96.0048353
